family,generation,size,base_id,instruct_id,condition,n_items,n_decrease,n_increase,n_unchanged,mean_difference,sd_difference,cohens_d,n_base_stereo,n_instruct_stereo
qwen,Qwen 3,4B,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B,with_template,1508,246,149,1113,-0.0643236074270557,0.5079073543572714,-0.12664437101615442,979,882
qwen,Qwen 3,8B,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,without_template,1508,202,126,1180,-0.050397877984084884,0.4637988040510205,-0.10866323402278724,949,873
qwen,Qwen 3,8B,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,with_template,1508,202,174,1132,-0.01856763925729443,0.49915662521585186,-0.037198022262581745,949,921
qwen,Qwen 3,14B,Qwen/Qwen3-14B-Base,Qwen/Qwen3-14B,without_template,1508,183,115,1210,-0.04509283819628647,0.44239026734484294,-0.10192999603478309,993,925
qwen,Qwen 3,14B,Qwen/Qwen3-14B-Base,Qwen/Qwen3-14B,with_template,1508,225,163,1120,-0.04111405835543767,0.5057407192466865,-0.08129473619739001,993,931
gemma,Gemma 1,2B,google/gemma-2b,google/gemma-2b-it,without_template,1508,207,193,1108,-0.009283819628647215,0.5151133430175768,-0.01802286769405317,939,925
gemma,Gemma 1,2B,google/gemma-2b,google/gemma-2b-it,with_template,1508,221,185,1102,-0.023872679045092837,0.5184970006832914,-0.04604207741536148,939,903
gemma,Gemma 1,7B,google/gemma-7b,google/gemma-7b-it,without_template,1508,217,206,1085,-0.007294429708222812,0.5297517048527851,-0.013769525687982242,932,921
gemma,Gemma 1,7B,google/gemma-7b,google/gemma-7b-it,with_template,1508,267,196,1045,-0.047082228116710874,0.5522813648026134,-0.08525043776108247,932,861
gemma,Gemma 2,2B,google/gemma-2-2b,google/gemma-2-2b-it,without_template,1508,158,111,1239,-0.03116710875331565,0.42134107149977373,-0.07397120969568803,916,869
gemma,Gemma 2,2B,google/gemma-2-2b,google/gemma-2-2b-it,with_template,1508,196,152,1160,-0.029177718832891247,0.4796566043637085,-0.060830432787633844,916,872
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,without_template,1508,176,118,1214,-0.038461538461538464,0.4400105798701113,-0.08741048561353253,934,876
gemma,Gemma 2,9B,google/gemma-2-9b,google/gemma-2-9b-it,with_template,1508,192,167,1149,-0.016578249336870028,0.4877977159198825,-0.0339859101340952,934,909
gemma,Gemma 3,1B,google/gemma-3-1b-pt,google/gemma-3-1b-it,without_template,1508,253,172,1083,-0.05371352785145889,0.5283277346983727,-0.10166706065908966,901,820
gemma,Gemma 3,1B,google/gemma-3-1b-pt,google/gemma-3-1b-it,with_template,1508,293,214,1001,-0.05238726790450928,0.5776536561012396,-0.09068975388831935,901,822
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,without_template,1508,364,363,781,-0.000663129973474801,0.6945609798937693,-0.0009547469447192735,772,771
gemma,Gemma 3,4B,google/gemma-3-4b-pt,google/gemma-3-4b-it,with_template,1508,413,340,755,-0.04840848806366048,0.7052115131520835,-0.06864392761724647,772,699
gemma,Gemma 3,12B,google/gemma-3-12b-pt,google/gemma-3-12b-it,without_template,1508,381,351,776,-0.01989389920424403,0.6966614780598418,-0.028556048856967494,796,766
gemma,Gemma 3,12B,google/gemma-3-12b-pt,google/gemma-3-12b-it,with_template,1508,499,298,711,-0.133289124668435,0.7149038505667544,-0.18644342810962253,796,595
mistral,Mistral v0.1,7B,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,without_template,1508,90,135,1283,0.029840848806366047,0.3852430198487859,0.07745980399094334,1016,1061
mistral,Mistral v0.1,7B,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-Instruct-v0.1,with_template,1508,168,124,1216,-0.029177718832891247,0.439215821365902,-0.06643139298159269,1016,972
mistral,Mistral v0.3,7B,mistralai/Mistral-7B-v0.3,mistralai/Mistral-7B-Instruct-v0.3,without_template,1508,51,65,1392,0.009283819628647215,0.27728662836531626,0.03348094959853628,1023,1037
mistral,Mistral v0.3,7B,mistralai/Mistral-7B-v0.3,mistralai/Mistral-7B-Instruct-v0.3,with_template,1508,265,137,1106,-0.08488063660477453,0.5094562192763792,-0.16661026677687277,1023,895
mistral,Mistral Nemo,12B,mistralai/Mistral-Nemo-Base-2407,mistralai/Mistral-Nemo-Instruct-2407,without_template,1508,82,82,1344,0.0,0.3298870732360618,0.0,991,991
mistral,Mistral Nemo,12B,mistralai/Mistral-Nemo-Base-2407,mistralai/Mistral-Nemo-Instruct-2407,with_template,1508,188,159,1161,-0.019230769230769232,0.4794671254781415,-0.04010862936972296,991,962
mistral,Mistral Small 3,24B,mistralai/Mistral-Small-24B-Base-2501,mistralai/Mistral-Small-24B-Instruct-2501,without_template,1508,44,54,1410,0.006631299734748011,0.2549232381212209,0.02601292759193142,1022,1032
mistral,Mistral Small 3,24B,mistralai/Mistral-Small-24B-Base-2501,mistralai/Mistral-Small-24B-Instruct-2501,with_template,1508,185,109,1214,-0.050397877984084884,0.43880286053482276,-0.11485312088134253,1022,946
